SampleId	GROUP	Year	Image#	Group#	NObj	Type	AvgLumenArea	AvgLumenLength	AvgLumenWidth	AvgHorizontalPosition	AvgVerticalPosition	AvgLumenPerimeter	AvgLumenFormCoefficient	AvgLumenL/W	TotLumenArea	TotLumenLength	TotLumenWidth	TotLumenPerimeter	
1_dekH_3	CELL	2014	1	19	0	V	1751.3400	52.7000	44.2000	1056.9876	3121.0064	117.3000	14.4500	184.4500	159.5781	0.8642	1.1923	
1_dekH_3	CELL	2014	1	20	0	V	323.6800	20.4000	20.4000	1047.1545	2761.1946	158.9500	105.4000	284.7500	70.0587	0.8287	1.0000	
1_dekH_3	CELL	2014	1	21	0	V	2820.6400	69.7000	32.3000	1080.7471	2655.1370	165.7500	73.1000	308.5500	268.5583	0.4915	2.1579	
1_dekH_3	CELL	2014	1	22	0	V	537.5400	39.1000	17.0000	1078.1747	2711.7468	94.3500	90.9500	224.4000	103.1420	0.6350	2.3000	
1_dekH_3	CELL	2014	1	23	0	V	710.9400	32.3000	23.8000	1120.2516	2905.6386	90.1000	35.7000	158.1000	105.0881	0.8090	1.3571	
1_dekH_3	CELL	2014	1	24	0	V	817.8700	32.3000	32.3000	1123.7420	2796.5781	149.6000	114.7500	296.6500	110.9263	0.8353	1.0000	
1_dekH_3	CELL	2014	1	25	0	V	352.5800	15.3000	27.2000	1117.7500	3108.9934	15.3000	9.3500	39.9500	72.0048	0.8546	0.5625	
1_dekH_3	CELL	2014	1	26	0	V	2164.6100	56.1000	54.4000	1150.3326	2990.1252	119.8500	102.8500	278.8000	175.1468	0.8867	1.0313	
1_dekH_3	CELL	2014	1	27	0	V	511.5300	20.4000	28.9000	1148.1051	3524.8588	73.1000	29.7500	123.2500	93.4116	0.7367	0.7059	
1_dekH_3	CELL	2014	1	28	0	V	924.8000	32.3000	32.3000	1157.8116	3106.2825	9.3500	55.2500	96.9000	116.7645	0.8524	1.0000	
1_dekH_3	CELL	2014	1	29	0	V	355.4700	18.7000	23.8000	1172.1984	3319.7821	90.9500	69.7000	179.3500	72.0048	0.8616	0.7857	
1_dekH_3	CELL	2014	1	30	0	V	1462.3400	34.0000	35.7000	1219.2125	3190.8832	86.7000	4.2500	124.9500	216.0143	0.3938	0.9524	
1_dekH_3	CELL	2014	1	31	0	V	835.2100	34.0000	23.8000	1213.7765	3511.1235	23.8000	78.2000	136.0000	122.6027	0.6982	1.4286	
1_dekH_3	CELL	2014	1	32	0	V	2303.3300	56.1000	49.3000	1245.9592	3357.0862	188.7000	55.2500	300.0500	186.8232	0.8293	1.1379	
